"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 18 17:48:09 EET 2021","Sat Dec 18 17:48:12 EET 2021","2642","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Sat Dec 18 19:52:22 EET 2021","Sat Dec 18 19:52:23 EET 2021","772","","API Requests","","API Requests","POST Request","POST Request",""
